"","unknown","joy","sadness","anger","surprise","fear","disgust"
"bhai",3,1,0,0,0,0,0
"bhaidont",0,1,0,0,0,0,0
"bharat",0,1,0,1,0,0,0
"bhatt",1,0,0,0,0,0,0
"bhavani",1,0,0,0,0,0,0
"bheem",1,0,0,0,0,0,0
"bhi",0,0,0,1,0,0,0
"bhik",1,0,0,0,0,0,0
"big",4,0,0,0,0,0,0
"bigger",2,0,0,0,0,0,0
"biggest",5,0,0,0,0,0,0
"biju",0,0,0,1,0,0,0
"bill",17,10,2,1,0,0,0
"billboard",0,0,0,0,1,0,0
"billion",1,0,0,0,0,0,0
"bin",0,0,1,0,0,0,0
"biswa",1,0,0,0,0,0,0
"bit",0,0,0,1,0,0,0
"bjp",26,2,0,0,0,0,0
"black",2,1,0,0,0,0,0
"blackedoutrahul",1,0,0,0,0,0,0
"blackmoney",1,0,0,0,0,0,0
"blackout",8,1,2,0,0,0,1
"blackshamea",0,0,0,0,0,1,0
"blah",1,0,0,0,0,0,0
"blame",1,0,0,0,0,0,0
"bless",11,0,0,0,0,0,0
"block",2,0,0,0,0,0,0
"bloodi",1,0,0,0,0,0,0
"bluemoona",1,0,0,0,0,0,0
"blv",1,0,0,0,0,0,0
"boast",1,0,0,0,0,0,0
"bockout",1,0,0,0,0,0,0
"bollywoodrt",1,0,0,0,0,0,0
"bolo",0,0,1,0,0,0,0
"bolti",1,0,0,0,0,0,0
"bonker",0,0,1,0,0,0,0
"booth",1,0,0,0,0,0,0
"born",1,0,0,0,0,0,0
"boss",1,0,0,0,0,0,0
"both",6,0,0,0,0,0,0
"bother",0,0,1,1,0,0,0
"bottl",3,0,0,0,0,0,0
"boy",1,1,0,0,0,0,0
"brahmin",1,0,0,0,0,0,0
"brain",2,0,1,0,0,0,0
"branch",16,0,0,0,0,0,0
"brand",0,1,0,0,0,0,0
"break",3,0,0,0,0,0,0
"breed",0,1,0,0,0,0,0
"brighter",1,0,0,0,0,0,0
"bring",1,1,0,0,0,0,0
"britain",0,4,0,0,0,0,0
"broke",0,1,0,0,0,0,0
"broken",1,0,0,0,0,0,0
"brother",0,1,0,0,0,0,0
"brought",0,1,0,0,0,0,0
"budget",3,0,0,0,0,0,0
"build",6,1,0,0,0,0,0
"bureau",1,0,0,0,0,0,0
"burn",0,0,0,0,0,1,0
"busi",2,0,0,0,0,0,0
"but",8,2,1,0,0,0,0
"buy",1,0,0,0,0,0,0
"buzz",1,0,0,0,0,0,0
"cabinet",1,0,0,0,0,0,0
"call",11,0,2,0,0,0,0
"cambridg",4,3,3,0,0,1,0
"campaig",1,0,0,0,0,0,0
"campaign",14,0,0,0,0,0,0
"can",16,5,3,3,0,0,0
"cancelledin",1,0,0,0,0,0,0
"candidatesknowledg",1,0,0,0,0,0,0
"cannot",2,0,0,0,0,0,0
"cant",2,0,0,0,0,0,0
"canva",2,0,0,0,0,0,0
"canvass",3,0,0,0,0,0,0
"capit",1,1,0,0,0,0,0
"captur",1,0,0,0,0,0,0
"care",0,2,0,0,0,0,0
"carmona",3,0,0,0,0,0,0
"carri",1,0,0,0,0,0,0
"cartoon",2,0,0,0,0,0,0
"cas",0,0,5,0,0,0,0
"case",1,0,0,2,0,0,0
"catch",0,1,0,0,0,0,0
"categoricallygt",2,0,0,0,0,0,0
"cbia",1,0,0,0,0,0,0
"cbs",4,0,0,0,0,0,0
"cell",1,0,0,0,0,0,0
"cent",1,0,0,0,0,0,0
"center",1,0,0,0,0,0,0
"centr",1,0,0,0,0,1,0
"central",1,0,0,0,0,0,0
"chai",1,0,0,0,0,0,0
"chanc",8,1,0,0,0,0,0
"chang",5,3,1,0,0,0,0
"channa",0,1,0,0,0,0,0
"channel",3,0,0,0,0,0,0
"charan",1,0,0,0,0,0,0
"charchaquot",1,0,0,0,0,0,0
"charg",0,6,0,1,0,0,0
"chavan",2,0,0,0,0,0,0
"cheat",0,1,0,0,0,0,0
"chesaru",1,0,0,0,0,0,0
"chhota",1,0,0,0,0,0,0
"chichay",2,0,0,0,0,0,0
"chidambaram",1,0,1,0,0,0,0
"chidambaramquot",0,1,0,0,0,0,0
"chief",3,0,0,0,0,0,0
"child",1,0,1,0,0,0,0
"children",1,0,0,0,0,0,0
"chiranjeevi",1,0,0,0,0,0,0
"chit",0,1,0,0,0,0,0
"chitquot",0,1,0,0,0,0,0
"choos",0,0,1,0,0,0,0
"chopra",1,0,0,0,0,0,0
"chosen",1,0,0,0,0,0,0
"christma",2,0,0,0,0,0,0
"chutiya",1,1,0,0,0,0,0
"cii",1,0,0,0,0,0,0
"circularrahul",1,0,0,0,0,0,0
"cite",0,0,0,1,0,0,0
"citi",4,1,0,0,0,0,0
"claim",2,0,0,0,0,0,0
"class",1,0,0,0,0,0,0
"classinvis",119,12,0,2,0,0,0
